GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A3KFK1,YY1AP1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000163374,YY1AP1,Approved,Nucleoli fibrillar center,,,,,Nucleoli fibrillar center,,,,,Nucleoli fibrillar center (GO:0001650)
UniProtKB,A3KFK2,YY1AP1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000163374,YY1AP1,Approved,Nucleoli fibrillar center,,,,,Nucleoli fibrillar center,,,,,Nucleoli fibrillar center (GO:0001650)
UniProtKB,A3KFL2,EXOSC2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000130713,EXOSC2,Supported,Nucleoli;Nucleoplasm,,,,Nucleoli;Nucleoplasm,,,Nucleoli,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
UniProtKB,A3KFL5,EXOSC2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000130713,EXOSC2,Supported,Nucleoli;Nucleoplasm,,,,Nucleoli;Nucleoplasm,,,Nucleoli,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
UniProtKB,A3KME0,FANCF,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000183161,FANCF,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A3KMG1,FOXP1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000044,UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000114861,FOXP1,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A3KMG6,NFE2L1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000044,UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000082641,NFE2L1,Approved,Nucleoplasm,Cytosol,,,,Cytosol;Nucleoplasm,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UniProtKB,A3KN61,BRF1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000044,UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000185024,BRF1,Approved,Nuclear bodies;Nucleoplasm,,,,,Nuclear bodies;Nucleoplasm,,Nuclear bodies;Nucleoplasm,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
UniProtKB,A3KN83,SBNO1,GO:0005634,nucleus,ECO:0000318,IBA,GO_REF:0000033,FB:FBgn0265630|MGI:MGI:2384298|PANTHER:PTN000295173|TAIR:locus:2207365|WB:WBGene00002889,9606,C,nucleus,ENSG00000139697,SBNO1,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A3KN83,SBNO1,GO:0005634,nucleus,ECO:0000250,ISS,GO_REF:0000024,UniProtKB:Q689Z5,9606,C,nucleus,ENSG00000139697,SBNO1,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A3KN83,SBNO1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000139697,SBNO1,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A3KPC7,HIST1H2AH,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A3KPE3,FOXC1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR000413741,9606,C,nucleus,ENSG00000054598,FOXC1,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,,Cytosol,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UniProtKB,A3QRX5,A3QRX5,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A3R0T7,A3R0T7,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A3R0T8,HIST1H1E,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB:P43274|ensembl:ENSMUSP00000057308|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
