disease	class	organ	symptom_concept	hpo
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Olfactory bulb hypoplasia / anosmia	HP:0000458
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Ossification abnormality	HP:0010674
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Cardiac	Outflow tract / great vessel anomaly	HP:0001702
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	GI_Abdominal	Pancreatic insufficiency / pancreatitis	HP:0001738; HP:0001733
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Pectus deformity	HP:0000766
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Pelvic / iliac / acetabular abnormality	HP:0002644
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Phalangeal / metacarpal / metatarsal abnormality	HP:0009834
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Endocrine	Pituitary abnormality / hypopituitarism	HP:0000871
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Polyhydramnios	HP:0001561
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Respiratory	Recurrent respiratory infections / bronchiectasis	HP:0002783
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Refractive error	HP:0000539
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Renal	Renal cysts / cystic kidney	HP:0000107
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Renal	Renal failure / ESRD / CKD	HP:0000083
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Renal	Renal hypoplasia / dysplasia	HP:0000110
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Retinal arteriolar attenuation	HP:0007843
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Retinitis pigmentosa / rod-cone dystrophy	HP:0000510
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Rib abnormality (other)	HP:0000772
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Scoliosis / kyphosis / lordosis	HP:0002650
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Scrotal / penile abnormality	HP:0010460
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Short limbs (rhizomelic / mesomelic)	HP:0009826
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Short ribs / narrow thorax	HP:0000774
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Skeletal dysplasia (general/unspecified)	HP:0002652
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Craniofacial	Skull base / cranial vault abnormality	HP:0009928
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	CNS	Speech / language abnormality	HP:0002463
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Sperm flagellar abnormality / male infertility	HP:0012864
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Hematologic_Immune	Spleen abnormality (asplenia/polysplenia)	HP:0001743
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Hematologic_Immune	Splenomegaly	HP:0001744
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Syndactyly / webbed digits	HP:0001159
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Cardiac	Tetralogy of Fallot	HP:0001636
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Craniofacial	Tongue abnormality	HP:0000171
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Respiratory	Tracheal / laryngeal abnormality	HP:0002778
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Renal	Tubulointerstitial nephropathy	HP:0001970
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Umbilical cord abnormality	HP:0010881
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Reproductive	Uterine / vaginal abnormality	HP:0000130
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Vascular	Vascular attenuation / abnormal vasculature	HP:0011028
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	CNS	Ventricular enlargement	HP:0002119
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Skeletal	Vertebral / cervical abnormality	HP:0000925
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Eye	Visual impairment / blindness	HP:0000505
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	Craniofacial	Webbed neck / short neck	HP:0000465
Short-Rib Thoracic Dysplasia	Primary Ciliopathies	CNS	White matter abnormality	HP:0007030
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Cardiac	Arrhythmia	HP:0011675
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Birth weight / length / OFC abnormality	HP:0011451
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Bone age abnormality	HP:0005982
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Brachydactyly / short digits	HP:0001182
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Hematologic_Immune	Cancer susceptibility / tumour	HP:0006744; HP:0002664
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Cardiac	Cardiomyopathy	HP:0001638
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Cerebellar vermis hypoplasia/aplasia	HP:0001320
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Cleft lip / palate	HP:0410030; HP:0000175
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Coarse facial features / abnormal facies	HP:0001999
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Coccyx / sacrum abnormality	HP:0008443
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Corpus callosum abnormality	HP:0001273
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Reproductive	Cryptorchidism	HP:0000028
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Dental anomaly	HP:0000172
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Endocrine	Diabetes mellitus	HP:0006331
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Respiratory	Diaphragmatic abnormality	HP:0000776
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Epicanthal folds	HP:0000286
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Eyelid / palpebral abnormality	HP:0000492
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Endocrine	Failure to thrive / growth retardation	HP:0040194
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Hepatic	Hepatomegaly	HP:0002240
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	GI_Abdominal	Hernia (abdominal)	HP:0100790
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	High-arched / narrow palate	HP:0000218
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Hydrocephalus	HP:0000238
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Reproductive	Hydrops fetalis	HP:0010880
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Hypertelorism	HP:0000316
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Reproductive	Hypospadias	HP:0000047
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Hypotonia	HP:0001252
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001263
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	GI_Abdominal	Intestinal / GI structural anomaly	HP:0002245
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	CNS	Macrocephaly	HP:0000256
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skin_Hair_Nail	Milia / pitted skin	HP:0001792
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Nasal abnormality	HP:0000366
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skin_Hair_Nail	Nipple abnormality	HP:0010783
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Endocrine	Obesity / hyperphagia	HP:0001513
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Ossification abnormality	HP:0010674
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Cardiac	Outflow tract / great vessel anomaly	HP:0001702
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Pectus deformity	HP:0000766
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Pelvic / iliac / acetabular abnormality	HP:0002644
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Phalangeal / metacarpal / metatarsal abnormality	HP:0009834
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Hematologic_Immune	Plasma protein abnormality	HP:0006254
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Respiratory	Recurrent respiratory infections / bronchiectasis	HP:0002783
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Renal	Renal cysts / cystic kidney	HP:0000107
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Rib abnormality (other)	HP:0000772
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Scoliosis / kyphosis / lordosis	HP:0002650
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Hematologic_Immune	Spleen abnormality (asplenia/polysplenia)	HP:0001743
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Hematologic_Immune	Splenomegaly	HP:0001744
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Syndactyly / webbed digits	HP:0001159
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Craniofacial	Tongue abnormality	HP:0000157
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Skeletal	Vertebral / cervical abnormality	HP:0000925
Simpson-Golabi-Behmel Syndrome	Primary Ciliopathies	Renal	Wilms tumour	HP:0002667
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Anhydramnios / oligohydramnios	HP:0001623
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skin_Hair_Nail	Atopic dermatitis / eczema	HP:0001047
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Behavioural abnormality	HP:0000708
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Birth weight / length / OFC abnormality	HP:0011451
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Bitemporal narrowing	HP:0000341
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Renal	Bladder / urinary tract abnormality	HP:0000014
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Bulbar dysfunction	HP:0001612
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Eye	Cataract	HP:0000518
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Cleft lip / palate	HP:0410030; HP:0000175
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Cortical malformation	HP:0007364
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Cryptorchidism	HP:0000028
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Dental anomaly	HP:0000172
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Epicanthal folds	HP:0000286
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Epiphyseal abnormality (other)	HP:0005930
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Eyelid / palpebral abnormality	HP:0000492
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Endocrine	Failure to thrive / growth retardation	HP:0001508
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Genital ambiguity	HP:0000062
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Hand / foot abnormality (general)	HP:0001167
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Hydrocephalus	HP:0000238
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Renal	Hydronephrosis	HP:0000126
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Hypertelorism	HP:0000316
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Hypertonia / spasticity	HP:0001276
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Hypospadias	HP:0000047
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Hypotonia	HP:0001558
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Intellectual disability / developmental delay	HP:0001249
Smith-Lemli-Opitz Syndrome	Secondary Diseases	GI_Abdominal	Intestinal / GI structural anomaly	HP:0002021
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Endocrine	Lipid metabolism / dyslipidaemia	HP:0003119
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Low-set / malformed ears	HP:0000356
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Respiratory	Lung lobation / structural abnormality	HP:0002088
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Microcephaly	HP:0000252
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Micrognathia / retrognathia	HP:0000347
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Micropenis	HP:0000054
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Nasal abnormality	HP:0000366
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Cardiac	Outflow tract / great vessel anomaly	HP:0001702
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Pelvic / iliac / acetabular abnormality	HP:0010743
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Phalangeal / metacarpal / metatarsal abnormality	HP:0009834
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skin_Hair_Nail	Photodermatitis / photosensitivity	HP:0000992
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Polydactyly	HP:0001162
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Renal	Renal cysts / cystic kidney	HP:0000107
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Renal	Renal hypoplasia / dysplasia	HP:0000110
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Reproductive	Scrotal / penile abnormality	HP:0000054
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Seizures / epilepsy	HP:0001250
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Short limbs (rhizomelic / mesomelic)	HP:0009826
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Short stature / dwarfism	HP:0004322
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Sleep abnormality	HP:0002360
Smith-Lemli-Opitz Syndrome	Secondary Diseases	CNS	Strabismus	HP:0000486
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Skeletal	Syndactyly / webbed digits	HP:0001159
Smith-Lemli-Opitz Syndrome	Secondary Diseases	Craniofacial	Tongue abnormality	HP:0000157
Smith-Lemli-Opitz Syndrome	Secondary Diseases	GI_Abdominal	Vomiting	HP:0002013
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Apraxia	HP:0002186
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Areflexia / hyporeflexia	HP:0001284
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Cardiac	Arrhythmia	HP:0011675
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Astrogliosis / Purkinje abnormality	HP:0002171
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Ataxia / gait abnormality	HP:0002136
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Atopic dermatitis / eczema	HP:0012740
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Behavioural abnormality	HP:0000733
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Bitemporal narrowing	HP:0000341
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Renal	Bladder / urinary tract abnormality	HP:0000014
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Brainstem / pons abnormality	HP:0011962
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Bulbar dysfunction	HP:0002046
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Cerebellar dysgenesis (other)	HP:0007033
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Cerebellar hypoplasia/atrophy	HP:0001321
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Cerebellar vermis hypoplasia/aplasia	HP:0001320
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Cerebral atrophy / volume loss	HP:0002059
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skeletal	Clinodactyly	HP:0030084
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Coarse facial features / abnormal facies	HP:0001999
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Constitutional symptom (catchall)	HP:0002076
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Corpus callosum abnormality	HP:0001273
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Cutaneous papules / fibrofolliculomas	HP:0012757
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Hepatic	Elevated transaminases / abnormal liver enzymes	HP:0003073
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Eye movement abnormality (other)	HP:0000496
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Eyelid / palpebral abnormality	HP:0000492
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Frequency / weakness / fatigue (general)	HP:0003388
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	High-arched / narrow palate	HP:0000218
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Hyperpigmentation / hypopigmentation	HP:0007481
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Hyperreflexia	HP:0001347
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Hypertonia / spasticity	HP:0007256
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Hypotonia	HP:0001252
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Ichthyosis / hyperkeratosis	HP:0008064
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0002354
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	GI_Abdominal	Intestinal / GI structural anomaly	HP:0011024
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Eye	Iris / anterior chamber abnormality	HP:0000525
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Endocrine	Lipid metabolism / dyslipidaemia	HP:0003119
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Nasal abnormality	HP:0000366
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Nystagmus	HP:0000639
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skeletal	Pectus deformity	HP:0000766
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Peripheral neuropathy	HP:0002936
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Hematologic_Immune	Plasma protein abnormality	HP:0011028
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skeletal	Scoliosis / kyphosis / lordosis	HP:0002650
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Reproductive	Scrotal / penile abnormality	HP:0000029
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Seizures / epilepsy	HP:0001250
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Speech / language abnormality	HP:0002300
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Reproductive	Sperm flagellar abnormality / male infertility	HP:0012864
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Strabismus	HP:0000486
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Craniofacial	Tongue abnormality	HP:0000157
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Eye	Tortuous / abnormal retinal vessels	HP:0030842
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Tremor / dyskinesia / dystonia	HP:0000473
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	Ventricular enlargement	HP:0002119
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	Eye	Visual impairment / blindness	HP:0000505
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	GI_Abdominal	Vomiting	HP:0002013
Spinocerebellar Ataxia	Tissue-restricted Ciliopathies	CNS	White matter abnormality	HP:0002500
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Abnormal ERG / electroretinogram	HP:0000512
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Abnormal breathing pattern (CNS-driven)	HP:0002098
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Cardiac	Arrhythmia	HP:0011675
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Arthrogryposis / contractures	HP:0002804
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Ataxia / gait abnormality	HP:0002515
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Behavioural abnormality	HP:0000708
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Birth weight / length / OFC abnormality	HP:0011451
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Bone age abnormality	HP:0005982
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Bone fragility / fracture	HP:0002659; HP:0001642
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Brachydactyly / short digits	HP:0001156
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	CNS calcification	HP:0002514
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Cardiac	Cardiomegaly	HP:0001640
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Cardiac	Cardiomyopathy	HP:0012819
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Clavicular abnormality	HP:0000889
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Coarse facial features / abnormal facies	HP:0001999
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Coccyx / sacrum abnormality	HP:0008443
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Cone-rod dystrophy	HP:0000548
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Cone-shaped epiphyses	HP:0010580
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Cortical malformation	HP:0002132
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Epiphyseal abnormality (other)	HP:0005930
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Frontal bossing / abnormal forehead	HP:0002007
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Hair colour / texture abnormality	HP:0001595
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skin_Hair_Nail	Hyperpigmentation / hypopigmentation	HP:0011355
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Hypertelorism	HP:0000316
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Vascular	Hypertension (systemic)	HP:0000822
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Hypertonia / spasticity	HP:0001276
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Endocrine	Hypothyroidism	HP:0000821
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Hypotonia	HP:0001252
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Hematologic_Immune	Immunodeficiency	HP:0002721
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001249
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Joint laxity / hypermobility	HP:0001388
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Limb asymmetry / partial limb absence	HP:0100559
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Long philtrum / abnormal philtrum	HP:0000343
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Respiratory	Lung lobation / structural abnormality	HP:0002088
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Macrocephaly	HP:0000256
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Metaphyseal abnormality	HP:0000944
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Nasal abnormality	HP:0000366
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Nystagmus	HP:0000639
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Ossification abnormality	HP:0010674
